Employee_ID,Status,Department,Job_Role,Years_at_Company,Latest_Rating,Engagement_Score,Satisfaction_Score
EMPA94D01,Active,Sales,Business Development,4,5/5,50.0,6.7
EMPDDB871,Active,Finance,Finance Manager,8,5/5,64.0,7.3
EMP129E36,Active,Finance,Accountant,2,3/5,86.0,4.6
EMPAB25B3,Active,Operations,Project Manager,9,2/5,76.0,5.2
EMP75D670,Active,Finance,Finance Manager,3,4/5,73.0,5.2
EMP4B86E1,Active,HR,HR Manager,4,5/5,92.0,6.7
EMP4076A6,Active,Engineering,Technical Lead,3,4/5,75.0,7.9
EMPA599B5,Active,Sales,Sales Manager,7,4/5,59.0,7.6
EMP15B9D1,Active,Engineering,Architecture Lead,4,5/5,44.0,8.3
EMPF3CA63,Active,Engineering,Data Scientist,6,3/5,80.0,7.5
EMP680DD4,Active,HR,HR Manager,6,3/5,55.0,8.4
EMPA6F8F1,Active,Operations,Project Manager,5,2/5,65.0,3.5
EMPC96605,Active,Engineering,Software Engineer,4,5/5,92.0,5.4
EMP41257C,Active,Sales,Account Manager,8,5/5,66.0,6.2
EMP2E2BD4,Active,HR,HR Manager,1,2/5,61.0,8.5
EMPF17D6E,Active,Engineering,Data Scientist,1,2/5,64.0,6.6
EMPBFE239,Active,Finance,Treasury Analyst,5,2/5,65.0,5.0
EMPFB6326,Active,HR,Talent Acquisition,1,2/5,50.0,7.0
EMPE40FBE,Active,Finance,Finance Manager,4,5/5,100.0,5.6
EMP98C567,Active,Engineering,Technical Lead,5,2/5,59.0,4.8
